id,score
as1,89.20319
as10,89.53216
as100,89.25581
as1000,89.50515
as1001,89.82942
as1002,89.13232
as1003,89.30131
as1004,89.01031
as1005,89.40928
as1006,89.25311
as1007,89.91649
as1008,88.96552
as1009,89.42857
as101,89.41545
as1010,89.74194
as1011,89.18033
as1012,89.44882
as1013,89.57173
as1014,89.51613
as1015,89.3456
as1016,89.17355
as1017,89.16084
as1018,89.33054
as1019,89.22747
as102,88.67925
as1020,89.69754
as1021,89.82906
as1022,89.5112
as1023,89.36255
as1024,89.76096
as1025,89.65293
as1026,88.96328
as1027,89.10515
as1028,89.34292
as1029,89.66874
as103,89.55157
as1030,89.41788
as1031,89.58246
as1032,89.25773
as1033,88.88651
as1034,89.61014
as1035,89.41423
as1036,89.43775
as1037,89.54751
as1038,89.36759
as1039,89.11504
as104,89.37778
as1040,89.66245
as1041,89.56897
as1042,89.29134
as1043,89.14163
as1044,89.0372
as1045,89.32347
as1046,89.48498
as1047,89.49367
as1048,89.30586
as1049,89.27565
as105,89.65885
as1050,89.44773
as1051,89.53398
as1052,89.34292
as1053,89.42268
as1054,89.60552
as1055,89.58592
as1056,89.57082
as1057,89.73856
as1058,89.25926
as1059,89.28
as106,89.83707
as1060,89.49367
as1061,88.96208
as1062,89.49686
as1063,89.51807
as1064,89.2668
as1065,89.2053
as1066,89.31183
as1067,89.56427
as1068,89.18033
as1069,89.40928
as107,89.6468
as1070,89.36884
as1071,88.92617
as1072,89.6
as1073,89.48498
as1074,89.38998
as1075,89.19028
as1076,89.20319
as1077,89.46429
as1078,89.17355
as1079,89.56044
as108,89.52096
as1080,89.32836
as1081,89.46667
as1082,89.22414
as1083,89.82533
as1084,89.25156
as1085,88.94523
as1086,89.64523
as1087,89.24843
as1088,89.26078
as1089,89.58592
as109,89.45841
as1090,89.12
as1091,89.40075
as1092,89.42149
as1093,89.35223
as1094,89.53935
as1095,89.16031
as1096,89.29515
as1097,89.57717
as1098,89.65812
as1099,89.34959
as11,89.66736
as110,89.17184
as1100,89.66173
as1101,89.57983
as1102,89.48936
as1103,89.15547
as1104,89.36128
as1105,89.66874
as1106,88.93224
as1107,89.67677
as1108,89.14397
as1109,89.2389
as111,89.32914
as1110,89.38998
as1111,89.74522
as1112,89.37622
as1113,89.30769
as1114,89.18033
as1115,89.36508
as1116,89.32489
as1117,89.40803
as1118,89.48387
as1119,89.46565
as112,89.46309
as1120,89.37079
as1121,89.47137
as1122,89.05376
as1123,89.7541
as1124,89.25926
as1125,89.03808
as1126,89.23225
as1127,89.49896
as1128,89.26829
as1129,89.63303
as113,89.2
as1130,89.64989
as1131,89.3456
as1132,89.36634
as1133,89.58159
as1134,88.98305
as1135,89.08142
as1136,89.09278
as1137,89.34021
as1138,89.19463
as1139,89.56332
as114,89.591
as1140,89.76967
as1141,89.50515
as1142,89.57627
as1143,89.42505
as1144,89.56897
as1145,89.16143
as1146,89.56522
as1147,89.32914
as1148,89.06383
as1149,89.29515
as115,89.42974
as1150,89.02041
as1151,89.30586
as1152,89.5842
as1153,89.49474
as1154,89.73626
as1155,89.66805
as1156,89.36382
as1157,89.56427
as1158,89.22912
as1159,89.58678
as116,89.50719
as1160,89.45946
as1161,89.58763
as1162,89.21739
as1163,89.2126
as1164,89.29047
as1165,89.28889
as1166,89.31034
as1167,89.25926
as1168,89.49474
as1169,89.40552
as117,89.5671
as1170,88.94949
as1171,88.81104
as1172,89.3177
as1173,89.55556
as1174,89.2967
as1175,89.44882
as1176,89.23077
as1177,89.48936
as1178,89.49896
as1179,89.16143
as118,89.75207
as1180,89.50207
as1181,89.5992
as1182,89.2967
as1183,89.84674
as1184,89.61832
as1185,89.50207
as1186,89.48608
as1187,89.49367
as1188,89.20477
as1189,89.33194
as119,89.82262
as1190,89.43205
as1191,89.23372
as1192,89.52191
as1193,89.36128
as1194,89.33747
as1195,89.24528
as1196,89.56236
as1197,89.48608
as1198,89.10204
as1199,89.36884
as12,89.58763
as120,89.10204
as1200,89.66942
as1201,88.96825
as1202,89.50617
as1203,89.36508
as1204,89.49686
as1205,89.74359
as1206,89.6468
as1207,89.14712
as1208,89.64365
as1209,89.58071
as121,89.57082
as1210,89.47826
as1211,89.4926
as1212,89.03421
as1213,89.51417
as1214,89.91837
as1215,89.61538
as1216,89.65665
as1217,89.58678
as1218,89.4332
as1219,88.95792
as122,89.32347
as1220,89.22027
as1221,89.16493
as1222,88.97839
as1223,89.35223
as1224,89.57356
as1225,89.48498
as1226,89.413
as1227,89.58678
as1228,89.29978
as1229,89.31034
as123,89.74414
as1230,89.82183
as1231,89.49367
as1232,89.5935
as1233,89.49367
as1234,89.76048
as1235,89.16473
as1236,89.59677
as1237,89.49791
as1238,89.31183
as1239,89.40299
as124,89.2562
as1240,89.53811
as1241,89.15074
as1242,89.13978
as1243,89.52191
as1244,89.22581
as1245,89.46667
as1246,89.81693
as1247,89.20354
as1248,89.23567
as1249,89.39525
as125,89.52381
as1250,89.68627
as1251,89.20949
as1252,89.40678
as1253,89.36634
as1254,89.63235
as1255,89.06977
as1256,89.41667
as1257,89.41667
as1258,89.591
as1259,89.50207
as126,89.54751
as1260,89.5112
as1261,89.06977
as1262,89.48052
as1263,89.44444
as1264,89.47484
as1265,89.36508
as1266,88.90295
as1267,89.37079
as1268,89.10751
as1269,89.44554
as127,89.91837
as1270,89.66457
as1271,89.60938
as1272,89.02637
as1273,89.16143
as1274,89.50104
as1275,89.39279
as1276,89.55457
as1277,89.30586
as1278,89.20177
as1279,89.40928
as128,89.35091
as1280,89.38053
as1281,89.27107
as1282,89.17864
as1283,89.45701
as1284,89.59184
as1285,89.49791
as1286,89.2967
as1287,88.95161
as1288,89.66316
as1289,89.25156
as129,89.7479
as1290,89.55157
as1291,89.45419
as1292,89.48387
as1293,89.29204
as1294,89.57627
as1295,89.41788
as1296,89.2809
as1297,89.66245
as1298,89.39394
as1299,89.66457
as13,89.38865
as130,89.32059
as1300,89.58506
as1301,89.62529
as1302,89.65517
as1303,89.02637
as1304,89.68689
as1305,89.49153
as1306,89.35484
as1307,89.48498
as1308,89.20635
as1309,89.4702
as131,89.64758
as1310,89.68504
as1311,89.35354
as1312,89.24171
as1313,89.54853
as1314,89.07563
as1315,89.1129
as1316,89.67347
as1317,89.24211
as1318,89.52663
as1319,89.57447
as132,89.08222
as1320,89.64912
as1321,89.83264
as1322,89.01639
as1323,89.6603
as1324,89.11111
as1325,89.3177
as1326,89.35354
as1327,89.34426
as1328,89.40043
as1329,89.58592
as133,89.1684
as1330,89.58678
as1331,89.22414
as1332,89.92063
as1333,89.60239
as1334,89.41545
as1335,88.89362
as1336,89.67347
as1337,89.5122
as1338,88.90063
as1339,89.33884
as134,89.81982
as1340,89.66316
as1341,89.4274
as1342,89.30368
as1343,89.56989
as1344,89.58678
as1345,89.47712
as1346,89.57806
as1347,89.13232
as1348,89.49474
as1349,89.68379
as135,89.24686
as1350,89.40299
as1351,89.53846
as1352,89.67871
as1353,89.49686
as1354,89.43925
as1355,89.48164
as1356,89.40426
as1357,89.39394
as1358,89.21722
as1359,88.98239
as136,89.60474
as1360,89.2437
as1361,89.34426
as1362,89.01031
as1363,89.26829
as1364,89.24843
as1365,88.96996
as1366,89.14347
as1367,89.50515
as1368,89.31183
as1369,89.36508
as137,89.65739
as1370,89.7479
as1371,89.4499
as1372,89.49367
as1373,89.17184
as1374,89.50311
as1375,89.57627
as1376,89.14712
as1377,88.96328
as1378,89.65066
as1379,89.23077
as138,89.59759
as1380,89.52475
as1381,89.58333
as1382,89.00415
as1383,89.48608
as1384,89.27565
as1385,89.32489
as1386,89.42974
as1387,89.16824
as1388,89.57806
as1389,89.40928
as139,89.50617
as1390,89.52719
as1391,89.2936
as1392,89.73913
as1393,89.49791
as1394,89.55056
as1395,89.21415
as1396,89.59839
as1397,89.3913
as1398,89.53033
as1399,89.58592
as14,89.18699
as140,89.65591
as1400,89.01031
as1401,89.11111
as1402,89.17695
as1403,89.53307
as1404,89.05376
as1405,89.75155
as1406,89.4702
as1407,89.50617
as1408,89.35335
as1409,89.35872
as141,89.30886
as1410,89.83707
as1411,89.50617
as1412,89.47137
as1413,89.05983
as1414,89.4926
as1415,88.87202
as1416,89.73742
as1417,89.41176
as1418,89.16318
as1419,89.35484
as142,89.12
as1420,89.60239
as1421,89.50617
as1422,89.54649
as1423,89.57173
as1424,89.42623
as1425,89.75758
as1426,89.66387
as1427,89.68566
as1428,89.61538
as1429,89.66457
as143,89.5092
as1430,89.82906
as1431,89.2437
as1432,89.19517
as1433,89.75155
as1434,89.55457
as1435,89.27273
as1436,89.12281
as1437,88.81857
as1438,89.65517
as1439,88.93878
as144,89.67936
as1440,89.21569
as1441,89.74138
as1442,89.33884
as1443,89.55882
as1444,89.66527
as1445,89.01437
as1446,89.00621
as1447,89.3456
as1448,89.31183
as1449,89.03084
as145,89.46429
as1450,89.26829
as1451,89.57717
as1452,89.4958
as1453,89.06582
as1454,89.30283
as1455,89.40426
as1456,89.66942
as1457,89.57082
as1458,89.09836
as1459,89.30435
as146,89.32914
as1460,89.27107
as1461,89.58333
as1462,89.14081
as1463,89.45946
as1464,89.2809
as1465,89.35743
as1466,89.66597
as1467,89.50617
as1468,89.82646
as1469,89.7351
as147,89.1684
as1470,89.20635
as1471,89.63636
as1472,89.39262
as1473,89.0678
as1474,89.23729
as1475,89.44
as1476,89.65957
